Cycle,Side teeth,,,,,,,,,,,,End teeth,,,,,,,
,Cutting edge 1,,,Cutting edge2,,,Cutting edge 3,,,Cutting edge 4,,,Cutting edge 1,,Cutting edge 2,,Cutting edge 3,,Cutting edge 4,
,"Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)"
,,,,,,,,,,,,,,,,,,,,
1,0.0454,0.0188,0.0118,0.0239,0.0186,0.0201,0.0481,0.0418,0.0054,0.0418,0.0379,0.0132,0.072 ,0.0122 ,0.0695,0.0095,0.0656,0.0059,0.0656,0.0119
2,0.0955,0.0909,0.0173,0.0907,0.0897,0.024,0.0896,0.0659,0.0308,0.0897,0.0716,0.039,0.0838,0.0143,0.0854,0.0172,0.0895,0.0188,0.0844,0.0174
3,0.1041,0.1076,0.0376,0.0997,0.0957 ,0.0264,0.0985,0.0955,0.0388,0.0957,0.0957,0.0658,0.0957,0.015,0.0971,0.0199,0.0955,0.0208,0.0962,0.0189
4,0.1105,0.1015,0.0393,0.1032,0.0971,0.0351,0.1194,0.1045,0.0471,0.1074,0.1015,0.0691,0.0995,0.0181,0.1015,0.0219,0.0962,0.0234,0.1015,0.0205
5,0.1174,0.1076,0.0425,0.1044,0.1015,0.0481,0.1234,0.1076,0.0574,0.1094,0.1081,0.0695,0.0957,0.0197 ,0.1076,0.0225,0.1016,0.0256,0.1074,0.0242
6,0.1195,0.1089,0.0489,0.1096,0.1081,0.0551,0.1325,0.1136,0.0647,0.1140 ,0.1135,0.0742,0.1015,0.0257,0.1086,0.0271,0.1022,0.0264,0.1076,0.0250 
7,0.1198,0.1134 ,0.0606,0.1138,0.1136,0.0585,0.1373,0.1195,0.0706,0.1293,0.1194,0.0766,0.1030 ,0.0265,0.1089,0.0275,0.1076,0.0298,0.1081,0.0285
8,0.1253,0.1194,0.0626,0.1203,0.1194,0.0654,0.1432,0.1253,0.0792,0.1373,0.1253,0.0808,0.1074,0.0277,0.1134,0.0287,0.1081,0.0301,0.1194,0.0291
9,0.1259 ,0.1255,0.0675,0.1268,0.1253,0.0789,0.1492,0.1255,0.0867,0.1379,0.1314,0.0818,0.1134,0.0316,0.1195,0.0357,0.1134,0.0331,0.1255,0.0324
10,0.1374,0.1314,0.0755,0.1374,0.1314,0.0829,0.1553,0.1314,0.0883,0.1433,0.1373,0.084,0.1194,0.0335,0.1255,0.0368,0.1194,0.0339,0.1313,0.0328
11,0.1374,0.1373,0.0762,0.1550 ,0.1374,0.0977,0.1850 ,0.1791,0.0888,0.2128,0.1378,0.1025,0.1194,0.0341,0.1255,0.0418 ,0.1194,0.0373,0.1313,0.0376
12,0.1432,0.1432,0.0773,0.1791,0.1790 ,0.1067,0.2031,0.1851 ,0.1006,0.2149,0.1432,0.1057,0.12,0.0368,0.1255,0.0447,0.1194,0.0415,0.1434,0.0561
13,0.1731,0.1493,0.0887,0.1850 ,0.1791,0.1181,0.2090 ,0.1910 ,0.1097,0.2209 ,0.1492,0.1182,0.1194,0.0421,0.1259,0.0460 ,0.1195,0.0443,0.1433,0.0605
14,0.1790 ,0.1503,0.092,0.1901,0.1854,0.1235,0.2089,0.1973,0.1145,0.2263,0.1493,0.1268,0.1194,0.0549,0.1259,0.0592,0.1195,0.5554,0.1434,0.0739
15,0.1851,0.1672,0.1036,0.2209,0.2096,0.1289,0.2279,0.2090 ,0.1206,0.2304,0.1556,0.1284,0.1194,0.0687,0.1313 ,0.0682,0.1195,0.0757,0.1434,0.0786
16,0.1910 ,0.1732,0.1051 ,0.2269,0.2149,0.1322,0.2331,0.2152 ,0.1308,0.2383,0.1616,0.1371,0.1195,0.0687 ,0.1378,0.0702,0.1259,0.081,0.1553,0.0814
17,0.1911,0.1791 ,0.1225,0.2280 ,0.2209,0.1492,0.2346,0.2269 ,0.1391,0.2390 ,0.1735,0.1501,0.1195,0.0715,0.1432 ,0.0836,0.1314,0.0891,0.1556,0.0911
18,0.1970 ,0.1850 ,0.1359,0.2328,0.2211,0.1605,0.2387,0.2328,0.1453,0.2450 ,0.1845 ,0.1604,0.1255 ,0.0784,0.1497,0.0887,0.1373,0.0924,0.1611,0.0999
